bitly_link,email1_clicks,email2_clicks,total_clicks
https://bit.ly/45EK9xt,1,0,1
https://bit.ly/45TMx3z,1,0,1
https://bit.ly/45K1Pru,1,0,1
https://bit.ly/4cdqw1Q,1,0,1
https://bit.ly/3zqwr4U,1,0,1
https://bit.ly/4cdqCGK,1,0,1
https://bit.ly/45C0DpS,0,1,1
https://bit.ly/3xiURgo,0,1,1
https://bit.ly/4ciAaQL,0,1,1
https://bit.ly/4cbaaXC,1,0,1
https://bit.ly/3xiUORK,1,0,1
https://bit.ly/45DeHzu,1,0,1
https://bit.ly/4bmwcFj,1,0,1
https://bit.ly/4cey04v,1,0,1
https://bit.ly/4beSf0U,1,0,1
https://bit.ly/4bj4zNF,0,1,1
https://bit.ly/45K1KUI,1,0,1
https://bit.ly/3zd00XM,1,0,1
https://bit.ly/45KhBCz,0,1,1
https://bit.ly/3xiUSRu,1,0,1
https://bit.ly/45F1kPk,0,1,1
https://bit.ly/3XxefRr,1,0,1
https://bit.ly/45KhHtV,0,1,1
https://bit.ly/4cey0l1,1,0,1
https://bit.ly/3XCeudV,1,0,1
https://bit.ly/45H9DtR,1,0,1
https://bit.ly/3zcT9Ob,1,0,1
https://bit.ly/45GStwG,1,0,1
https://bit.ly/4bczsDb,1,0,1
https://bit.ly/3xlwH4T,1,0,1
https://bit.ly/45zK8ux,0,0,0
https://bit.ly/45K1MvO,0,0,0
https://bit.ly/3XCes5D,0,0,0
https://bit.ly/45F1iGY,0,0,0
https://bit.ly/45zKbGJ,0,0,0
https://bit.ly/4cedxwX,0,0,0
https://bit.ly/3XwAXsT,0,0,0
https://bit.ly/4be3zu1,0,0,0
https://bit.ly/45B6c88,0,0,0
https://bit.ly/4bj4xp1,0,0,0
https://bit.ly/4cgx7Zw,0,0,0
https://bit.ly/45zK9i5,0,0,0
https://bit.ly/4bfYamc,0,0,0
https://bit.ly/3zhBPHO,0,0,0
https://bit.ly/45KhtTB,0,0,0
https://bit.ly/4cfzlbi,0,0,0
https://bit.ly/3zgLuOR,0,0,0
https://bit.ly/45zW3Zn,0,0,0
https://bit.ly/4boR8Mg,0,0,0
https://bit.ly/45AayMP,0,0,0
https://bit.ly/4cba16w,0,0,0
https://bit.ly/3zgLv5n,0,0,0
https://bit.ly/4cbIP7H,0,0,0
https://bit.ly/45EKaBx,0,0,0
https://bit.ly/3XAar1A,0,0,0
https://bit.ly/3xkZMxj,0,0,0
https://bit.ly/4cba8is,0,0,0
https://bit.ly/4cgxhQC,0,0,0
https://bit.ly/4cgxi78,0,0,0
https://bit.ly/45TMzsd,0,0,0
https://bit.ly/45EDJOx,0,0,0
https://bit.ly/3XDruQE,0,0,0
https://bit.ly/4bjpn7D,0,0,0
https://bit.ly/4biTufw,0,0,0
https://bit.ly/4cbIO3D,0,0,0
https://bit.ly/4bfY8L6,0,0,0
https://bit.ly/45zKaCF,0,0,0
https://bit.ly/4cedJwb,0,0,0
https://bit.ly/4cedBwH,0,0,0
https://bit.ly/45TMAfL,0,0,0
https://bit.ly/4bfYdhS,0,0,0
https://bit.ly/3XCqufs,0,0,0
https://bit.ly/45F1kyA,0,0,0
https://bit.ly/45BRrSl,0,0,0
https://bit.ly/3zbG9Z8,0,0,0
https://bit.ly/45DeAny,0,0,0
https://bit.ly/4cdqCqe,0,0,0
https://bit.ly/45F1lTa,0,0,0
https://bit.ly/45F1kyO,0,0,0
https://bit.ly/45E8rHN,0,0,0
https://bit.ly/45E8t2n,0,0,0
https://bit.ly/45TMzZf,0,0,0
https://bit.ly/45zK91z,0,0,0
https://bit.ly/4cba4iI,0,0,0
https://bit.ly/4cedwcn,0,0,0
https://bit.ly/4cdoBds,0,0,0
https://bit.ly/4cdqwPo,0,0,0
https://bit.ly/45C0DGo,0,0,0
https://bit.ly/45GSq3Y,0,0,0
https://bit.ly/3XANlrS,0,0,0
https://bit.ly/3xiUQck,0,0,0
https://bit.ly/4cba9D2,0,0,0
https://bit.ly/45DeLze,0,0,0
https://bit.ly/45KhCGD,0,0,0
https://bit.ly/4bj4B8f,0,0,0
https://bit.ly/4boR9Qk,0,0,0
https://bit.ly/4ccSCKF,0,0,0
https://bit.ly/3XwF9J6,0,0,0
https://bit.ly/4cgxkMi,0,0,0
https://bit.ly/4bjeMJI,0,0,0
https://bit.ly/45BqpdU,0,0,0
https://bit.ly/45KhLtF,0,0,0
https://bit.ly/4beWUQj,0,0,0
https://bit.ly/4caMt1x,0,0,0
https://bit.ly/45GSpgq,0,0,0
https://bit.ly/3zbY4id,0,0,0
https://bit.ly/4bftRMz,0,0,0
https://bit.ly/45CYXfM,0,0,0
https://bit.ly/3XAYkBF,0,0,0
https://bit.ly/3zqwqOo,0,0,0
https://bit.ly/45GSrVA,0,0,0
https://bit.ly/3zjaBk8,0,0,0
https://bit.ly/4cgxfIu,0,0,0
https://bit.ly/45F9jfb,0,0,0
https://bit.ly/3XCHa6K,0,0,0
https://bit.ly/3XCqv30,0,0,0
https://bit.ly/45K1J36,0,0,0
https://bit.ly/45EDKSB,0,0,0
https://bit.ly/4bwOp3r,0,0,0
https://bit.ly/45TMzIJ,0,0,0
https://bit.ly/45F9k2J,0,0,0
https://bit.ly/45FaN99,0,0,0
https://bit.ly/45APy8s,0,0,0
https://bit.ly/45H9DKn,0,0,0
https://bit.ly/3znGBmS,0,0,0
https://bit.ly/3zbGdIm,0,0,0
https://bit.ly/4bifWVS,0,0,0
https://bit.ly/4bfYfq0,0,0,0
https://bit.ly/4cf9bFH,0,0,0
https://bit.ly/45KhIht,0,0,0
https://bit.ly/45H9GWz,0,0,0
https://bit.ly/4bj4xFx,0,0,0
https://bit.ly/45F9iI9,0,0,0
https://bit.ly/45EDIdr,0,0,0
https://bit.ly/45KhHdp,0,0,0
https://bit.ly/4c4n8Gt,0,0,0
https://bit.ly/45KhOWn,0,0,0
https://bit.ly/45EDEKJ,0,0,0
https://bit.ly/3XCeuKX,0,0,0
https://bit.ly/3zbYc1b,0,0,0
https://bit.ly/45GSsc6,0,0,0
https://bit.ly/4cedwsT,0,0,0
https://bit.ly/3XCqsnQ,0,0,0
https://bit.ly/45EDIKt,0,0,0
https://bit.ly/4bjpqAl,0,0,0
https://bit.ly/4bj4Dgn,0,0,0
https://bit.ly/4bj4Ccj,0,0,0
