department,num_email_recipients,num_female_recipients,pct_female_recipients,num_urm_recipients,pct_urm_recipients,num_black_recipients,pct_black_recipients,num_hispanic_recipients,pct_hispanic_recipients,num_assistant_prof_recipients,pct_assistant_prof_recipients,department_clean
Purdue University-Chemistry,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Purdue University
Purdue University-Computer Science,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Purdue University
Purdue University-Mathematics,9,1,0.1111,1,0.1111,0,0.0,1,0.1111,0,0.0,Mathematics-Purdue University
Purdue University-Mechanical Engineering,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Purdue University
Purdue University-Physics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Purdue University
Rensselaer Polytechnic Institute-Chemistry,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,Chemistry-Rensselaer Polytechnic Institute
Rensselaer Polytechnic Institute-Computer Science,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Rensselaer Polytechnic Institute
Rensselaer Polytechnic Institute-Mathematics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Rensselaer Polytechnic Institute
Rensselaer Polytechnic Institute-Mechanical Engineering,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Rensselaer Polytechnic Institute
Rensselaer Polytechnic Institute-Physics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Rensselaer Polytechnic Institute
Rice University-Chemistry,2,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,Chemistry-Rice University
Rice University-Computer Science,2,1,0.5,2,1.0,2,1.0,0,0.0,0,0.0,Computer Science-Rice University
Rice University-Mathematics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Rice University
Rice University-Mechanical Engineering,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Rice University
Rice University-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Rice University
