seminar_id,university,discipline,condition,total_speakers,unique_speakers,speakers_from_db,urm_from_db,black_from_db,hispanic_from_db,female_from_db,pct_from_db,pct_urm_from_db,pct_black_from_db,pct_hispanic_from_db,pct_female_from_db,any_from_db,any_urm_from_db,any_black_from_db,any_hispanic_from_db,any_female_from_db
c3443a-280e59-31,Stanford University,Mathematics,treatment,34,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c34f68-b77e93-65,University of Connecticut,Mathematics,treatment,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c378b2-4bd29c-3e,University of Wisconsin-Madison,Mathematics,control,26,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c39e2a-88c32f-92,University of Pittsburgh,Physics,treatment,26,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c3e476-86b2ed-b2,Texas A&M University,Mathematics,treatment,13,11,2,2,1,1,1,15.384615384615385,15.384615384615385,7.6923076923076925,7.6923076923076925,7.6923076923076925,1,1,1,1,1
c4495f-ecde3e-00,Virginia Tech,Computer Science,control,43,38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c50ba6-c44e7f-84,Stanford University,Mathematics,treatment,18,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c566cb-c2fb13-c4,Michigan State University,Computer Science,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c575be-725d40-77,University of Michigan,Mathematics,treatment,11,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c5ec3e-3395ea-a3,University of Texas at Dallas,Mathematics,treatment,20,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c63769-903cf4-18,Case Western Reserve University,Mathematics,treatment,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c64475-f0dd12-5a,Mississippi State University,Mathematics,treatment,9,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c65a4f-2c5b50-8b,University of Arizona,Chemistry,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c679b1-dfe22a-b6,Ohio State University,Physics,treatment,18,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c695df-d0159b-73,"University of California, Davis",Physics,control,18,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c6ca2c-b9e1f2-9a,University of Colorado Boulder,Mathematics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c6f562-e42c40-14,Brandeis University,Mathematics,treatment,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c701ce-ab880c-ff,Florida International University,Mathematics,treatment,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c723cf-0ed1d2-4c,University of Minnesota,Physics,treatment,23,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c76102-f57518-7e,Indiana University Bloomington,Mathematics,treatment,18,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c785f1-1b6214-16,University of Notre Dame,Mathematics,treatment,21,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
