department,condition,clicked,total_clicks,num_emails
George Washington University-Chemistry,treatment,0,0,1
University of Houston-Chemistry,treatment,0,0,1
Rice University-Chemistry,treatment,0,0,1
Colorado State University-Computer Science,control,0,0,1
Iowa State University-Mechanical Engineering,control,0,0,1
Oregon State University-Mechanical Engineering,treatment,0,0,1
Texas Tech University-Mechanical Engineering,treatment,0,0,1
University of North Texas-Computer Science,control,0,0,1
University of Delaware-Computer Science,treatment,0,0,1
University of Wisconsin-Madison-Mechanical Engineering,treatment,0,0,1
Rutgers University-New Brunswick-Mechanical Engineering,treatment,1,3,1
Utah State University-Mechanical Engineering,treatment,1,2,1
"University of California, Santa Cruz-Chemistry",treatment,0,0,1
University of Memphis-Physics,treatment,0,0,1
Arizona State University-Mechanical Engineering,treatment,0,0,1
University of Southern Mississippi-Physics,control,0,0,1
University of Maine-Physics,treatment,0,0,1
Rice University-Mechanical Engineering,treatment,0,0,1
University of Alabama-Mechanical Engineering,treatment,1,3,1
Auburn University-Computer Science,control,0,0,1
University of Georgia-Physics,control,1,1,1
Case Western Reserve University-Chemistry,control,0,0,1
Louisiana State University-Computer Science,control,0,0,1
Georgetown University-Chemistry,control,0,0,1
Carnegie Mellon University-Chemistry,control,0,0,1
University of Washington-Computer Science,treatment,0,0,1
University of Texas at El Paso-Computer Science,control,0,0,1
University of Minnesota-Computer Science,control,0,0,1
Colorado State University-Physics,control,0,0,1
Drexel University-Mathematics,control,0,0,1
Texas Tech University-Physics,treatment,0,0,1
Georgetown University-Mathematics,control,1,2,1
Boston College-Physics,treatment,0,0,1
Clemson University-Physics,control,0,0,1
Binghamton University-Mechanical Engineering,control,0,0,1
Tufts University-Mechanical Engineering,control,0,0,1
University of Rochester-Computer Science,treatment,0,0,1
